code,year,points,college,audition,desc
GA883,2009,156, Galway-Mayo Institute of Technology,True, Mature Applicants Psychiatric Nursing
GA882,2009,335, Galway-Mayo Institute of Technology,False, Psychiatric Nursing
WD162,2009,300, Waterford Institute of Technology,False, Quantity Surveying
TL290,2009,280, Institute of Technology Tralee,False, Interactive Multimedia
TL291,2009,350, Institute of Technology Tralee,False, TV Radio and New Media Broadcasting
TL292,2009,265, Institute of Technology Tralee,False, Music Technology
GA480,2009,300, Galway-Mayo Institute of Technology,False, Construction Management
LC481,2009,295, Limerick Institute of Technology,False, Real Estate Property Valuation and Management
CK506,2009,355, University College Cork (NUI),False, International Development and Food Policy
CK504,2009,465, University College Cork (NUI),False, Nutritional Sciences
CK505,2009,335, University College Cork (NUI),False, Food Science
CK502,2009,400, University College Cork (NUI),False, Food Marketing and Entrepreneurship
WD086,2009,325, Waterford Institute of Technology,False, Electronic Engineering
WD084,2009,320, Waterford Institute of Technology,False, Accounting
WD085,2009,280, Waterford Institute of Technology,False, Mechanical and Manufacturing Engineering
WD080,2009,350, Waterford Institute of Technology,False, Business Studies with German
WD120,2009,355, Waterford Institute of Technology,False, Intellectual Disability Nursing
