DC201  Science Common Entry                                 335      390      54                         
DC202  Sport Science and Health                             435      470      56                         
DC203  Science Education                                    345      370      28                         
DC211  Music Performance                                    #                 8                          
FT101  Architecture                                         611#     639#     45                         
FT110  Property Econ Valuation Surveying                 380      400      44                         
FT111  Const Econ  Mgt Quant Surveying                  400      415      45                         
FT112  Geomatics                                            335      370      28                         
FT116  Environmental Planning  Management                  400      435      36                         
FT125  Engineering                                          315      400      95                         
FT128  Transport Technology                                 235      315      21                         
FT130  Printing Management                                  210      310      27                         
FT221  ElectricalElectronic Engineering                    350      400      16                         
FT222  Applied Sciences                                     230      320      15                         
FT223  Human Nutrition  Dietetics                          495      510      23                         
FT224  Optometry                                            495      510      24                         
FT225  Applied SciencesComputing                           255      315      14                         
FT228  Computer Science                                     300      335      80                         
FT229  Clinical Measurement                                 300      430      13                         
FT255  Int Business and Languages French                    395      430      18                         
FT256  Int Business and Languages German                    325      360      16                         
FT257  Int Business and Languages Spanish                   330      380      10                         
FT259  Photography                                          613#     778#     14                         
FT281  Computer Engineering                                 325      375      10                         
FT351  Business Studies                                     405      415      123                        
FT352  Media Arts                                           480      500      35                         
FT353  Journalism and a Language                            455      465      43                         
FT354   Information Systems Development                     320      380      17                         
FT358  Transport and Logistics                              310      335      44                         
FT359  Management and Law                                   200      325      10                         
FT401  Hospitality HotelCatering Mgt                     300      340      46                         
FT402  Tourism Marketing                                    350      360      27                         
FT403  Culinary Arts                                        240      340      38                         
FT404  Leisure Management                                   365      385      34                         
FT471  Social Care                                          385*     405      35                         
FT472  Early Child Care and Education                       370      385      34                         
FT480  Food TechnologyPharmaceutical Tech                  260      330      25                         
FT491  Environmental Health                                 360      395      37                         
FT541  Marketing                                            385      395      90                         
FT542  Management  Marketing                               405      420      68                         
FT543  Retail  Services Management                         345      360      47                         
FT544  Design  Interior  Furniture                        562#     668#     37                         
FT545  Design  Visual Communication                        753#     867#     35                         
FT546  Fine Art                                             620#     718#     36                         
FT601  Music                                                385#     500#     21                         
DL141  Psychology info tech                               315      350      39                         
