                                 ADMISSION DATA 2013
                                      Level 7/6

              The details given are for general information only and do not
               form part of any contract. They are not intended for use in
                determining whether any individual applicant is or is not
                     entitled to an offer of a higher education place

    *         Not all on this points score were offered places
    #         Test / Interview / Portfolio etc.
   AQA        All qualified applicants
    v         New competition for Available/Vacant Places
    +         Includes Project / Portfolio Score
              Notes: The final points column shows the lowest points score
              achieved by an applicant who received an offer of a place on
              the course. The mid point is the points score of the applicant
              in the middle of a list of offerees placed in points score order.
              Applicants who are offered places might not necessarily
              accept a place. In most cases, the points scores shown here
              are based on performance in the Leaving Certificate.
              Applicants offered on mature grounds are not accounted for
              in this chart, with the exception of applicants for Mature Code
              nursing courses.
Course Code                    INSTITUTION and COURSE                             Final   Mid point
DT261   Medicinal Chemistry and Pharmaceutical Sciences               375   470
DT303   Marketing                                                     300   385
DT315   Business Studies                                              300   420
DT324   Business Management                                           300   405
DT360   Retail Management and Marketing                               280   340
DT406   Tourism Management                                           275*   360
DT408   Hospitality Management                                        280   335
DT411   Leisure Management                                            315   360
DT418   Baking and Pastry Arts Management                             310   415
DT424   Food Science and Management                                   260   380
DT425   Pharmacy Technician Studies                                   340   380
DT432   Culinary Arts(Professional Culinary Practice)                 310   400
DT444   Health and Nutrition for Culinary Arts                        290   385
DT598   Visual Merchandising and Display                             450#   700
                           DUN LAOGHAIRE IADT
DL131   Computing in Multimedia Programming                           285   370
DL133   Audio Visual Media Technology                                 200   333
DL231   Business Studies - Entrepreneurship                           215   325
           GRAFTON COLLEGE OF MANAGEMENT SCIENCES
GF010   Business in Management                                        150   175
GF011   Business in Accounting                                        135   445
           GRIFFITH COLLEGE DUBLIN, CORK and LIMERICK
GC210   Marketing (Cork)                                              180   440
GC211   Business (Cork)                                               170   205
GC216   Business (Cork)                                               205   225
GC265   Journalism (Cork)                                             115   355
GC306   Diploma in International Hospitality Management (Limerick)    100   265
GC310   Marketing (Limerick)                                          150   245
GC311   Business (Limerick)                                           135   300
GC316   Business (Limerick)                                           225   285
GC320   Office Administration (Limerick)                              365   365
GC335   Computing (Limerick)                                         AQA    225
GC340   Computing (Limerick)                                          135   420
GC410   Marketing (Dublin)                                            130   240
GC411   Business (Dublin)                                            AQA    275
GC416   Business (Dublin)                                             190   255
GC425   Legal Studies and Practice (Dublin)                           250   285
GC435   Computing (Dublin)                                           AQA    210
GC440   Computing (Dublin)                                            140   200
GC445   Computer Games Technology (Dublin)                           AQA    230
GC460   Music Production for Games (Dublin) - Interview              230#   245
GC465   Journalism (Dublin)                                          AQA    345
GC470   Photographic Media (Dublin)                                  aQA    295
GC475   Photography (Dublin)                                         AQA    260
GC490   Interior Design (Dublin)                                     AQA    315
GC495   Fashion Design (Dublin) - Portfolio                          100#   325
                          IBAT COLLEGE DUBLIN
BY201   Business                                                      215   280
BY251   Business                                                      200   325
                          IT BLANCHARDSTOWN
BN001   Electronics and Computer Engineering                          180   260
BN002   Computing (Information Technology)                            200   255
BN003   Business                                                      180   270
BN009   Mechatronic Engineering                                       180   235
BN010    Business and Information Technology                 180    250
BN011    Applied Social Studies in Social Care               330    380
BN012    Computer Engineering                                180    240
BN013    Computing (Information Technology)                  200    275
BN014    Business                                            180    265
BN015    Engineering (Common 1st Year)                      AQA     225
BN016    Business (Common 1st Year)                          100    235
BN017    International Business                              185    345
BN020    Sports Management and Coaching                      335    375
BN021    Creative Digital Media                              310    365
BN022    Horticulture                                        180    255
BN025    Social and Community Development                    300    345
BN030    Early Childhood Care and Education                  340    400
                                  IT TALLAGHT
TA006    Culinary Arts                                       270    295
TA015    International Hospitality and Tourism Management    230    275
TA101    Accounting                                          180    265
TA102    Business Administration                             185    250
TA103    Marketing                                           180    245
TA111    Accounting and Finance                              180    300
TA113    Management                                          180    260
TA114    Marketing                                           180    270
TA201    Electronic Engineering                              150    195
TA203    Mechanical Engineering                              160    195
TA213    Mechanical Engineering                              210    290
TA215    Energy and Environmental Engineering                185    270
TA216    Electronic Engineering                              165    295
TA302    Computing                                           295    345
TA311    Bioanalysis                                         320    350
TA312    Computing                                           275    325
